Título_Público Descricao_pública																																																				
Açúcar de frutas e aplicação em bolos como substituto da sacarose O uso de inovações tecnológicas auxilia as indústrias a desenvolverem modelos sustentáveis de produção	produtos e serviços de forma sustentável a partir de recursos de base biológica com papel importante no desenvolvimento econômico do Brasil	dessa maneira	contribui para os Objetivos de Desenvolvimento Sustentável (ODS) estabelecidos pela Organização das Nações Unidas (ONU) especialmente no âmbito do Objetivo 12 (Assegurar padrões de produção e de consumo sustentáveis). Diante desse cenário	a presenta proposta buscará desenvolver e produzir frutose em pó  que substitua a sacarose para atender o mercado de indústrias de alimentos.																																																
Desenvolver uma linha de farofas com castanhas brasileiras e adição de proteína animal O uso de inovações tecnológicas auxilia as indústrias a desenvolverem modelos sustentáveis de produção	destaca-se a necessidade de pesquisas com o objetivo de desenvolver produto inovador pronto para consumo	agregação de valor e diferenciação de sabores	em especial produtos oriundos das florestas brasileiras que contribuem para o desenvolvimento da bioeconomia no Brasil.  Esse estudo também se propõe a avaliar as características do novo produto para fins de informação nutricional da rotulagem e acompanhar o período de vida útil do produto. A empresa está em busca de apoio na inovação e melhoria dos processos para desenvolver uma linha de produção sustentável com o uso de castanhas brasileiras	devido a grande diversidade dessas castanhas com alto valor nutricional e com sabor	aroma e alto nível de aceitação ampliando a diversificação de produtos.																																															
Desenvolvimento de cobertura líquida para sorvete O Brasil é considerado um país com a maior biodiversidade do mundo	com diferentes espécies nos biomas da Amazônia	Mata Atlântica e Cerrado	onde são encontradas plantas frutíferas nativas e importadas que possuem características nutricionais importantes. Dessa forma	busca-se desenvolver produtos inovadores com base nessas espécies promovendo o Desenvolvimento Sustentável (DS) com benefícios ambientais	sociais e econômicos	o que contribui para o desenvolvimento da bioeconomia no Brasil. A presente proposta está diretamente ligada à utilização de processos tecnológicos/biotecnológicos para o desenvolvimento e valorização de produtos a partir de Plantas Alimentícias Não Convencionais (PANC)	alimentos e nutrição humana	linhas estas	relacionados aos Objetivos de Desenvolvimento Sustentável (ODS) da Organização das Nações Unidas (ONU).																																											
Desenvolvimento de conserva de tomate cereja O Brasil é considerado o país com maior biodiversidade do mundo	com diferentes espécies nos biomas da Amazônia	Mata Atlântica e Cerrado	onde são encontradas plantas frutíferas nativas	que possuem características nutricionais importantes. A maior preocupação em promover o Desenvolvimento Sustentável (DS) tem levado à ascensão das inovações sustentáveis	entendidas como as que integram benefícios ambientais	sociais e econômicos	e com diferencial competitivo. Em Mato Grosso do Sul	entre os abundantes frutos nativos do Cerrado	o baru (Dipteryx alata)	têm se destacado por ser fonte de renda para famílias	contribuindo para a conservação da biodiversidade. Neste sentido	através da inovação tecnológica	o objetivo da presente pesquisa é desenvolver uma conserva com espécies do Cerrado	contribuindo para o aumento da competitividade de mercado e consequente fomento da economia além da preservação ambiental.																																						
Diagramação de Conteúdos para Rádio e TV Experimentações e desenvolvimento de modelos de Inteligência Artificial para diagramação de conteúdos com streaming em rádio e TV																																																				
Dialog Manager com a capacidade de integração com plataformas de interatividade Plataforma digital  inovadora e disruptiva na área de Integração e Governança de Sistemas dentro de uma cidade. Esta solução não só ajudará os idosos a manterem-se bem ao estarem mais bem ligados à sua cidade	mas também permitirá aos planeadores urbanos uma utilização mais eficiente dos serviços públicos.																																																			
Dispositivo Beacon padrão O objetivo deste projeto é  desenvolvimento de um dispositivo beacon padrão	baseado em tecnologia BLE (Bluetooth Low Energy)	que utlizará bateria de lítico da familia CF	bem como fonte de alimentação e demais formas de fonte de alimentação.																																																	
Dispositivos fotônicos	utilizando tecnologia de fotônica em silício	para aplicações em dispositivos ópticos de altas taxas Desenvolvimento de dispositivos fotônicos	utilizando tecnologia de fotônica em silício	para aplicações em dispositivos ópticos de altas taxas. Os motivadores do projeto têm como objetivo criar e evoluir tecnologias inovadoras de dispositivos fotônicos para aplicações em sistemas ópticos de alta capacidade.																																																
Evolução da plataforma de Assistente Virtual Multicanal Cognitivo Evolução do Projeto Assistente Virtual	para continuidade do desenvolvimento de uma plataforma de assistente virtual cognitivo com alta flexibilidade para atender diversos cenários de uso para diferentes contratantes e assessorias. Além da capacidade multi-tenant e multicanal	serão agregadas novas funcionalidades inovadoras ao assistente virtual de forma a tornar possível prover facilidades de atendimento nos diferentes canais.																																																		
Evolução da Plataforma Previsiown Desenvolvimento de novas funcionalidades na plataforma de telemetria automotiva da Previsiown	incluindo a atualização de versão do middleware IoT (dojot) e o desenvolvimento de novos modelos de inteligência artificial (IA).																																																			
Evolução de microcabos ópticos para instalação em microdutos Pesquisa e desenvolvimento considerando uma base teórica e resultados de ensaios laboratoriais. Serão definidas as dimensões	o perfil aerodinâmico e os materiais mais adequados para aplicação em microcabos ópticos para instalação em microdutos pelo processo de sopramento	evoluindo assim os microcabos ópticos	produtos já desenvolvidos pela Furukawa	no sentido de melhorar seus desempenhos. Também serão definidos os procedimentos de instalação que venham otimizar o lançamento dos microcabos	incluindo as principais características exigidas dos microdutos.																																															
Evolução do equipamento Life Surgery Box Clinical Data Storage System  Life Box. Trata-se de um equipamento para uso em ambiente médico cirúrgico	dotado de interfaces de entrada conectadas a equipamentos eletromédicos para captura de áudio e vídeo	registrando os eventos médicos (e.g. cirurgias) sob a forma de um arquivo único gravado com uma imagem composta (formada por várias sub imagens de diferentes fontes).																																																		
Evolução do interferômetro óptico Projeto de desenvolvimento para a evolução de interferômetro óptico que suporte maiores distâncias de cobertura de recintos e também permita a localização de eventos com maior precisão em uma mesma fibra.																																																				
Evolução do sistema de Cabos OPDC nus	cobertos e mensageiros para aplicação até a Classe de 25 kV O objeto deste projeto é a Evolução do sistema de Cabos OPDC nus	cobertos e mensageiros para aplicação até a Classe de 25 kV	que consiste na consolidação das especificações técnicas dos cabos OPDC e do isolador de terminação	além dos procedimentos para montagem do isolador de terminação até a Classe de 25 kV.																																																
Evolução para redes ópticas de nova geração Desenvolvimento do sistema de gerência para modelo SDN para o  gerenciamento	o roteamento e a monitoração de canais ópticos em sistemas de comunicação WDM de alta capacidade utilizando hardwares supervisoras para produtos OCM e WSS.																																																			
Evolução Plataforma GETTER com Marketplace de Modelos de IA Desenvolvimento e integração	com a solução hoje existente da GETTER	capaz de contar a produção	detectar parada de linha e calcular eficiência da mesma (indicador de OEE da linha)	de componentes de um middleware IoT e uma plataforma de inteligência artificial capaz de manter um repositório de modelos de IA (Marketplace de modelos) e de gerir o ciclo de vida dos modelos	incluindo sua geração	implantação	acompanhamento em produção e retreinamento.																																													
Evolução Switch Open Flow Evolução de produto de comutação de pacotes da empresa AsGa de forma a torná-lo um elemento de comutação em Redes Definidas por Software	neste caso	OpenFlow enabled.																																																		
Ferramenta de busca Potencializar o uso de um mecanismo de busca para automatizar e agilizar a correlação de demandas inseridas por um cliente (tema	assunto	nome de pessoas e empresas) com os dados existentes em suas bases de texto durante uma consulta.																																																		
Ferramenta para Mensuração de Impacto - FERMENS Desenvolvimento do protótipo de uma ferramenta	baseada na Web	para materializar a mensuração de impactos gerados pelo consumo de cursos e videoaulas por seus usuários (clientes finais).																																																		
Gateway IoT para Luminária Pública Este projeto tem por objetivo desenvolver um hardware (Gateway) adaptado para o módulo de controle de luminárias utlizadas em Iluminação Pública. O gateway irá se conectar à Luminária através da interface padrão National Electrical Manafatures Association (NEMA) 7 pinos.																																																				
Gestão da Evolução do Estoque de Rebanho via o Aplicativo Descentralizado Uso do Aplicativo de Carteira Digital de Identidade Descentralizada para o produtor rural que necessita disponibilizar informações sobre a gestão do seu rebanho e prestar contas aos órgãos de governo e aos frigoríficos. Esta aplicação promoverá a inclusão digital	comodidade e conveniência para o produtor	além de aumentar o alcance físico de produtores declarando os seus rebanhos. Com ela	o produtor rural substitui a visita pessoal ao escritório da agência para reportar verbalmente as informações exigidas pela cadeia de fornecimento ou os sistemas web dos órgãos de defesa oficiais.																																																	
Gestão do Cuidado em Condições Crônicas Desenvolvimento de um sistema de gestão de autocuidados para doentes com doenças crônicas.																																																				
Gestão do Cuidado em Condições Crônicas (Evolução) Novos módulos na solução de monitoramento de pacientes idosos em situação de risco e portadores de doenças crônicas: 1- Administração / Gestão da Solução de Cuidados do Paciente em Dispositivo Tablet e 2 - Cuidados do Paciente em Dispositivo Tablet																																																				
Gestão do Cuidado em Condições Crônicas. Evolução e Sustentação da solução Gestão do Cuidado em Condições Crônicas com novas funcionalidades demandadas pelo mercado.																																																				
Identidade Digital Descentralizada Real Digital MVP de Identidade Digital Descentralizada para facilitar as transações envolvendo o Real Digital Tokenizado	garantindo segurança	confiabilidade e privacidade.																																																		
Interferômetro para equipamento de sensoriamento e monitoração de vibrações em fibras ópticas monomodo Desenvolvimento de tecnologia de interferometria óptica para equipamento de sensoriamento e monitoração de vibrações em fibras ópticas monomodo. Os resultados deste projeto serão aplicados ao mercado de segurança eletrônica	no qual	uma das principais necessidades é a proteção e garantia de inviolabilidade de perímetros para detecção de intrusão	bem como	a disponibilização de sistemas de monitoramento óptico compacto e com baixo custo atendendo as necessidades de segurança dos consumidores.																																																
Jiga de teste com análise automatizada utilizando visão computacional no contexto do Projeto Sistema de inspeção de qualidade em notebooks Desenvolvimento de uma jiga de teste com análise automatizada utilizando visão computacional no contexto do Projeto Sistema de inspeção de qualidade em notebooks  SIQN da Samsung. 1.2 No processo atual de montagem de notebooks	existe uma tarefa de verificação visual de possíveis defeitos ocorridos durante o processo de montagem.																																																			
Jiga de testes automatizados para garantir a qualidade dos acessórios para redes ópticas Desenvolvimento de uma Jiga de testes automatizados para garantir a qualidade dos acessórios para redes ópticas fabricados pela Proqualit. Este projeto visa desenvolver de forma integrada em uma só solução	dispositivos de testes ópticos	mecânicos e de acoplamento	facilitando a caracterização das fibras ópticas	análises de integridade dos cabos	perda de retorno e resistência mecânica dos conectores.																																															
